Time	Amplitude
0.00000	0.00000
0.01000	0.06279
0.02000	0.12533
0.03000	0.18738
0.04000	0.24869
0.05000	0.30902
0.06000	0.36813
0.07000	0.42578
0.08000	0.48175
0.09000	0.53583
0.10000	0.58779
0.11000	0.63742
0.12000	0.68455
0.13000	0.72897
0.14000	0.77051
0.15000	0.80902
0.16000	0.84433
0.17000	0.87631
0.18000	0.90483
0.19000	0.92978
0.20000	0.95106
0.21000	0.96858
0.22000	0.98229
0.23000	0.99212
0.24000	0.99803
0.25000	1.00000
0.26000	0.99803
0.27000	0.99212
0.28000	0.98229
0.29000	0.96858
0.30000	0.95106
0.31000	0.92978
0.32000	0.90483
0.33000	0.87631
0.34000	0.84433
0.35000	0.80902
0.36000	0.77051
0.37000	0.72897
0.38000	0.68455
0.39000	0.63742
0.40000	0.58779
0.41000	0.53583
0.42000	0.48175
0.43000	0.42578
0.44000	0.36813
0.45000	0.30902
0.46000	0.24869
0.47000	0.18738
0.48000	0.12533
0.49000	0.06279
0.50000	0.00000
0.51000	-0.06279
0.52000	-0.12533
0.53000	-0.18738
0.54000	-0.24869
0.55000	-0.30902
0.56000	-0.36813
0.57000	-0.42578
0.58000	-0.48175
0.59000	-0.53583
0.60000	-0.58779
0.61000	-0.63742
0.62000	-0.68455
0.63000	-0.72897
0.64000	-0.77051
0.65000	-0.80902
0.66000	-0.84433
0.67000	-0.87631
0.68000	-0.90483
0.69000	-0.92978
0.70000	-0.95106
0.71000	-0.96858
0.72000	-0.98229
0.73000	-0.99212
0.74000	-0.99803
0.75000	-1.00000
0.76000	-0.99803
0.77000	-0.99212
0.78000	-0.98229
0.79000	-0.96858
0.80000	-0.95106
0.81000	-0.92978
0.82000	-0.90483
0.83000	-0.87631
0.84000	-0.84433
0.85000	-0.80902
0.86000	-0.77051
0.87000	-0.72897
0.88000	-0.68455
0.89000	-0.63742
0.90000	-0.58779
0.91000	-0.53583
0.92000	-0.48175
0.93000	-0.42578
0.94000	-0.36813
0.95000	-0.30902
0.96000	-0.24869
0.97000	-0.18738
0.98000	-0.12533
0.99000	-0.06279
1.00000	0.00000
1.01000	0.06279
1.02000	0.12533
1.03000	0.18738
1.04000	0.24869
1.05000	0.30902
1.06000	0.36813
1.07000	0.42578
1.08000	0.48175
1.09000	0.53583
1.10000	0.58779
1.11000	0.63742
1.12000	0.68455
1.13000	0.72897
1.14000	0.77051
1.15000	0.80902
1.16000	0.84433
1.17000	0.87631
1.18000	0.90483
1.19000	0.92978
1.20000	0.95106
1.21000	0.96858
1.22000	0.98229
1.23000	0.99212
1.24000	0.99803
1.25000	1.00000
1.26000	0.99803
1.27000	0.99212
1.28000	0.98229
1.29000	0.96858
1.30000	0.95106
1.31000	0.92978
1.32000	0.90483
1.33000	0.87631
1.34000	0.84433
1.35000	0.80902
1.36000	0.77051
1.37000	0.72897
1.38000	0.68455
1.39000	0.63742
1.40000	0.58779
1.41000	0.53583
1.42000	0.48175
1.43000	0.42578
1.44000	0.36813
1.45000	0.30902
1.46000	0.24869
1.47000	0.18738
1.48000	0.12533
1.49000	0.06279
